"Add to Cart","Comprar"
"Please select at least one product to add to cart","Selecione pelo menos um produto para adicionar ao carrinho"
"Short Description","Curta Descrição"
"Search","Buscar"
"SKU","Código de Produto"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Recebemos um pedido para alterar a seguinte informação associada a sua conta na %store_name: %store_name: %changes."
"We have received a request to change the following information associated with your account at %store_name: email.","Recebemos um pedido para alterar a seguinte informação associada a sua conta na %store_name: email."
"We have received a request to change the following information associated with your account at %store_name: password.","Recebemos um pedido para alterar a seguinte informação associada a sua conta na %store_name: senha."
"We have received a request to change the following information associated with your account at %store_name:  email, password.","Recebemos um pedido para alterar a seguinte informação associada a sua conta na %store_name: email, senha."
"Customer Login","Login do cliente"
"Create New Customer Account","Criar nova conta de cliente"
"Show Password","Mostrar Senha"
"Shipping Info","Informação de envio"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","O login da conta está incorreto ou sua conta foi desabilitada temporariamente. Aguarde e tente novamente mais tarde."
